DefaultSPUId,DefaultGenusId,A,B,a_nonmerch,b_nonmerch,k_nonmerch,cap_nonmerch,a_sap,b_sap,k_sap,cap_sap,a1,a2,a3,b1,b2,b3,c1,c2,c3,min_volume,max_volume,low_stemwood_prop,high_stemwood_prop,low_stembark_prop,high_stembark_prop,low_branches_prop,high_branches_prop,low_foliage_prop,high_foliage_prop
12,6,0.99649,0.87269,9.6933,-0.84931,0.84254,3.2708,0,0,1,1,-2.04126,-0.0011173,0.01031,-2.53003,-0.0021682,0.18733,-1.83019,0.000427,-0.12705,2.17,263.76,0.72894,0.75823,0.09637,0.07769,0.08359,0.09722,0.09111,0.06687
12,7,1.07078,0.81759,6.2839,-0.77233,0.85907,2.5503,0,0,1,1,-1.75157,0.0001138,-0.04732,-1.58686,-0.0006475,0.04425,-1.20468,0.00094,-0.21408,0.43,376.37,0.62919,0.68264,0.10077,0.09332,0.13868,0.14237,0.13136,0.08167
12,8,0.96358,0.84637,8.4289,-0.88761,0.90756,3.132,0,0,1,1,-1.59961,0.0003825,-0.07311,-1.48365,0.0006139,-0.04852,-1.08538,-0.000539,-0.17303,0.35,544.47,0.60958,0.67813,0.10893,0.10635,0.12748,0.15819,0.15401,0.05733
12,9,1.01405,0.84974,14.9589,-1.05743,0.95532,3.0007,0,0,1,1,-1.78621,-0.0005828,0.04281,-1.73943,0.0001132,0.01099,-2.7669,-0.000685,-0.01259,0.88,390.17,0.70362,0.70766,0.12715,0.12204,0.12601,0.13871,0.04323,0.03159
12,10,1.38909,0.81038,11.1178,-0.92369,0.88203,2.4905,0,0,1,1,-1.75414,-0.000326,-0.0182,-2.6148,8.85e-05,0.25788,-4.73107,-0.003946,0.51884,0.44,308.29,0.7679,0.65636,0.12884,0.09253,0.08698,0.2173,0.01628,0.03382
12,11,0.91868,0.90309,15.6253,-1.11424,0.96479,2.5504,0,0,1,1,-1.79353,-0.0008069,-0.01448,-1.47798,0.0004943,0.02049,-2.7186,-0.002878,0.04065,0.48,594.07,0.68069,0.6858,0.11045,0.0644,0.16081,0.23919,0.04805,0.01061
12,12,1.38341,0.82265,25.1394,-1.39055,1.00839,2.1369,0,0,1,1,-1.5049,-0.0004696,-0.08295,-2.14884,1.42e-05,0.17736,-2.52586,-0.00178,-0.05728,1.87,425.24,0.70195,0.67548,0.13272,0.07428,0.11522,0.23234,0.05011,0.01791
12,13,0.95795,0.89434,14.9295,-1.09124,0.96228,2.5203,0,0,1,1,-1.66669,-0.0008911,-0.02896,-2.00085,0.0001276,0.13249,-2.73902,-0.002214,-0.0061,0.44,594.07,0.70776,0.68989,0.12723,0.06377,0.11979,0.23482,0.04523,0.01151
13,1,0.96149,0.86726,6.6606,-0.82395,0.87508,2.3408,0,0,1,1,-1.72163,-0.0001848,-0.02105,-1.23944,-1.02E-05,-0.09248,-0.95776,-0.000878,-0.13897,0.24,275.4,0.57943,0.68491,0.10003,0.10335,0.14394,0.11742,0.1766,0.09431
13,2,0.6693,0.97134,4.8891,-0.85842,1.07075,2.712,0,0,1,1,-1.28338,0.0028036,-0.25412,-0.37104,0.0053032,-0.46567,-0.31653,0.007336,-0.57181,0.93,132.21,0.57321,0.72951,0.10131,0.08385,0.17351,0.10258,0.15197,0.08406
