DefaultSPUId,DefaultSpeciesTypeId,A,B,a_nonmerch,b_nonmerch,k_nonmerch,cap_nonmerch,a_sap,b_sap,k_sap,cap_sap,a1,a2,a3,b1,b2,b3,c1,c2,c3,min_volume,max_volume,low_stemwood_prop,high_stemwood_prop,low_stembark_prop,high_stembark_prop,low_branches_prop,high_branches_prop,low_foliage_prop,high_foliage_prop
6,13,0.5852,0.9263,7.759,-1.23236,0.98793,4.5127,0,0,1,1,-1.44746,-0.001038,-0.01938,-1.0086,0.00178,-0.14237,-0.8973,-0.00193,-0.13326,0.641,383.65,0.54466,0.65022,0.12378,0.09148,0.15546,0.20119,0.1761,0.05711
6,20,0.6947,0.90217,3.2665,-0.83212,0.94958,2.1215,0,0,1,1,-1.06706,-0.000451,-0.17684,-0.093,-0.00158,-0.28531,-0.4986,-0.00162,-0.28439,0.334,643.48,0.45499,0.85623,0.1164,0.07013,0.25702,0.04455,0.17159,0.02909
6,22,2.1182,0.71954,100,-2.02049,0.99606,1.0182,0,0,1,1,-1.06706,-0.000451,-0.17684,-0.093,-0.00158,-0.28531,-0.4986,-0.00162,-0.28439,0.334,643.48,0.45499,0.85623,0.1164,0.07013,0.25702,0.04455,0.17159,0.02909
6,29,0.4975,0.99523,18.8755,-0.99697,0.87301,5.1566,0,0,1,1,-0.08254,0.000748,-0.32955,-0.95874,0,-0.06249,0.7813,-0.00126,-0.493,4.5,324.12,0.40179,0.6561,0.17677,0.11397,0.13382,0.17519,0.28762,0.05474
6,37,0.4262,1.0114,100,-2.23209,1.00752,1.0181,0,0,1,1,-1.0311,0.000183,-0.15361,-0.52355,0.00025,-0.14671,-0.9781,0.00023,-0.22893,2.632,1061.85,0.51616,0.65611,0.13478,0.09734,0.2271,0.18262,0.12196,0.06392
6,44,1.0024,0.85711,13.8374,-1.03481,0.89853,3.8058,0,0,1,1,-0.86074,0.000895,-0.27201,-0.05028,0.00203,-0.35606,0.8364,0.00385,-0.77912,1.956,315.35,0.4461,0.69696,0.11149,0.08135,0.2135,0.16122,0.22891,0.06047
6,47,1.1555,0.82109,100,-2.17289,0.99336,1.0528,0,0,1,1,-0.86074,0.000895,-0.27201,-0.05028,0.00203,-0.35606,0.8364,0.00385,-0.77912,1.956,315.35,0.4461,0.69696,0.11149,0.08135,0.2135,0.16122,0.22891,0.06047
6,49,0.4826,0.94872,4.695,-0.35084,0,1.902,0,0,1,1,0.03082,0.001983,-0.40421,2.62257,0.00354,-0.86966,2.0232,-0.00137,-0.64154,37.444,263.22,0.40055,0.62609,0.09779,0.11353,0.24183,0.16908,0.25983,0.0913
6,62,0.67,0.94005,41.899,-1.74675,1.15739,4.44,0,0,1,1,-1.28817,0.000609,-0.07713,-2.10719,-0.00069,0.16289,-2.1235,-0.00049,-0.07947,6.805,472.97,0.66322,0.65519,0.15182,0.14975,0.11998,0.15695,0.06498,0.03811
6,63,0.7792,0.90573,100,-1.16494,0.51027,4.7289,0,0,1,1,-0.28461,0.001374,-0.29567,-3.33977,-0.00269,0.48543,-2.0002,-0.00118,-0.05181,20.671,357.22,0.6369,0.65908,0.18883,0.14188,0.10319,0.156,0.07107,0.04304
